Nb Instance,BestBound, DFS10,DFS01, BFS,Random,Heur - BestBound,Heur - DFS10,Heur - FS01,Heur - BFS,Heur - Random,DP - BestBound
100,1,1,1,1,1,1,1,1,1,1,
200,1,1,1,1,1,1,1,1,1,1,
300,17,9,9,31,29,2,2,2,2,2,
400,23,16,13,18,18,10,10,10,10,10,
500,109,109,67,165,172,70,106,52,115,111,
600,1,1,1,1,1,1,1,1,1,1,
700,33,37,17,67,64,22,26,13,35,26,
800,111,70,283,132,178,30,30,30,30,30,
900,1,1,1,1,1,1,1,1,1,1,
1000,27,6,9,13,10,3,3,3,3,3,
1100,63,111,456,44,61,19,47,19,37,33,
1200,125,376,183,119,151,86,296,111,91,91,
1300,13,86,7,15,58,12,69,7,14,49,
1400,11,11,340,26,49,1,1,1,1,1,
1500,253,69,288,121,110,165,56,93,90,93,
1600,437,513,421,221,427,102,308,100,111,305,
1700,55,660,14,30,74,31,598,12,18,17,
1800,15,77,578,23,83,10,10,5,7,19,
1900,21,820,680,33,28,7,573,7,14,15,
2000,167,1088,7,15,19,13,562,3,3,5,
2100,261,539,773,73,148,110,380,616,46,103,
2200,29,862,659,9,17,3,616,3,3,5,
2300,575,934,65,397,324,109,594,44,140,128,
2400,53,754,13,52,19,41,509,12,41,17,
2500,177,17,758,22,20,15,15,15,15,15,
2600,371,626,292,113,168,151,321,40,24,32,
2700,5,3,73,5,3,1,1,1,1,1,
2800,457,32,813,495,637,21,21,21,21,21,
2900,789,152,759,88,41,38,38,38,38,38,
3000,13,5,1418,13,5,1,1,1,1,1,
3100,2465,3437,143,79,81,22,2594,22,30,61,
3200,227,5150,983,240,188,103,4270,17,68,115,
3300,251,6183,1721,95,87,132,5226,106,33,74,
3400,57,5665,49,77,57,5,4720,5,7,29,
3500,1181,1986,8359,465,216,143,1299,2165,172,235,
3600,749,6059,5279,198,184,31,5006,25,140,150,
3700,341,8633,15,136,189,203,7463,13,80,126,
3800,153,1109,5137,165,105,77,956,715,35,134,
3900,1,1,1,1,1,1,1,1,1,1,
4000,125,15,8326,159,118,1,1,1,1,1,
4100,125,7173,232,59,132,70,5845,172,24,48,
4200,11,10000,6249,11,63,11,10000,16,11,19,
4300,1107,219,6794,41,137,26,80,360,29,25,
4400,19,10000,4974,17,19,12,8821,5,7,11,
4500,759,10000,139,44,47,394,9617,81,43,62,
4600,4429,1043,5380,368,1793,316,939,1828,309,305,
4700,1709,144,44,49,151,13,13,13,13,13,
4800,303,73,7585,387,338,152,21,144,54,137,
4900,4215,8275,4997,234,76,83,6820,32,66,50,
5000,519,8320,23,116,65,3,6920,3,3,3,
5100,123,43,6903,119,11,1,1,1,1,1,
5200,4027,6972,6900,197,109,35,5628,445,47,45,
5300,1419,121,2187,144,169,51,51,51,51,51,
5400,10000,2690,7218,721,69,89,1473,236,67,19,
5500,2275,3012,1157,464,222,43,1862,7,15,7,
5600,553,3655,8357,35,63,163,2585,20,35,85,
5700,231,5652,1447,168,283,163,3701,373,87,193,
5800,41,151,3825,11,7,23,14,14,7,7,
5900,165,7269,5777,269,92,9,5428,9,31,56,
6000,177,694,17,108,185,152,416,16,78,77,
6100,121,6391,8765,77,95,9,4737,5,7,11,
6200,5737,2156,8446,99,150,5,599,3,3,5,
6300,45,459,10000,23,91,43,291,231,23,15,
6400,3335,89,3696,73,489,1,1,1,1,1,
6500,1,1,1,1,1,1,1,1,1,1,
6600,393,478,8308,37,23,5,109,5,7,10,
6700,261,1344,16,21,23,57,127,3,3,5,
6800,9449,4486,3372,350,290,97,2682,94,99,102,
6900,43,1098,117,9,13,3,13,3,3,13,
7000,663,6096,159,11,11,3,3761,3,3,5,
7100,1707,827,53,51,91,61,56,26,27,46,
7200,1587,671,8609,1785,1022,1,1,1,1,1,
7300,2237,8067,10000,51,59,11,5853,1016,27,33,
7400,6317,8371,8037,104,96,240,6174,85,56,50,
7500,357,6470,8676,499,629,20,4359,671,24,52,
7600,117,6725,7264,129,65,53,4547,11,30,56,
7700,9,9,2370,61,57,1,1,1,1,1,
7800,1411,10000,220,155,67,5,8261,5,7,7,
7900,1019,10000,53,438,772,514,10000,33,376,314,
8000,10000,10000,1907,710,195,270,10000,378,128,132,
