File,Upperbound,Solution,gap,Time
kp_100_1.in,41752,41700,0.001247,2.8903e-05
kp_100_2.in,38441,38367,0.00192874,5.097e-06
kp_1000_1.in,396700,396644,0.000141185,2.3877e-05
kp_1000_2.in,407935,407930,1.2257e-05,2.4815e-05
kp_10000_1.in,4092641,4092640,2.44341e-07,0.000229979
kp_10000_1_0.1.in,1296681,1296663,1.38818e-05,0.000147471
kp_10000_1_0.01.in,417235,417210,5.99219e-05,0.000136089
kp_10000_1_0.02.in,585034,584993,7.00863e-05,0.000176912
kp_10000_1_0.03.in,714797,714764,4.61691e-05,0.000127502
kp_10000_1_0.04.in,823225,823208,2.06509e-05,0.000123702
kp_10000_1_0.05.in,919171,919134,4.02553e-05,0.00014272
kp_10000_2.in,4085793,4085773,4.89503e-06,0.000212613
kp_100000_1.in,40686915,40686621,7.22596e-06,0.00212569
kp_100000_2.in,40542690,40542542,3.65049e-06,0.00202093
