File,Algo,Strategy,Time,Nb Noeuds,gap
kp_100_2.in,Greedy,,1.5979e-05,
kp_100_2.in,B&B,BestBound,0.00527021,465,0
kp_100_2.in,B&B,DFS10,0.0062074,509,0
kp_100_2.in,B&B,DFS01,0.010534,1046,0
kp_100_2.in,B&B,BFS,0.0619173,10000,0.349842
kp_100_2.in,B&B,Random,0.0568354,10000,0.352462
kp_100_2.in,B&B - Heur,BestBound,0.00200997,221,0
kp_100_2.in,B&B - Heur,DFS10,0.00403069,464,0
kp_100_2.in,B&B - Heur,DFS01,0.00575556,554,0
kp_100_2.in,B&B - Heur,BFS,0.00199897,238,0
kp_100_2.in,B&B - Heur,Random,0.0020533,238,0
kp_100_2.in,B&B - HeurDP,BestBound,0.0345479,220,0
kp_100_2.in,B&B - HeurDP,DFS10,0.0340457,220,0
kp_100_2.in,B&B - HeurDP,DFS01,0.0336526,220,0
kp_100_2.in,B&B - HeurDP,BFS,0.036137,220,0
kp_100_2.in,B&B - HeurDP,Random,0.0371226,220,0
kp_1000_2.in,Greedy,,3.8836e-05,
kp_1000_2.in,B&B,BestBound,0.0254646,519,0
kp_1000_2.in,B&B,DFS10,0.0357956,799,0
kp_1000_2.in,B&B,DFS01,0.463291,10000,0.00465782
kp_1000_2.in,B&B,BFS,0.0447619,2036,0
kp_1000_2.in,B&B,Random,0.155558,6841,0
kp_1000_2.in,B&B - Heur,BestBound,0.0204405,279,0
kp_1000_2.in,B&B - Heur,DFS10,0.0270283,357,0
kp_1000_2.in,B&B - Heur,DFS01,0.0455913,603,0
kp_1000_2.in,B&B - Heur,BFS,0.0163411,225,0
kp_1000_2.in,B&B - Heur,Random,0.0166965,227,0
kp_1000_2.in,B&B - HeurDP,BestBound,0.0526017,134,0
kp_1000_2.in,B&B - HeurDP,DFS10,0.0556346,134,0
kp_1000_2.in,B&B - HeurDP,DFS01,0.0633728,134,0
kp_1000_2.in,B&B - HeurDP,BFS,0.057247,134,0
kp_1000_2.in,B&B - HeurDP,Random,0.0547372,134,0
kp_10000_2.in,Greedy,,0.000357782,
kp_10000_2.in,B&B,BestBound,8.98718,10000,inf
kp_10000_2.in,B&B,DFS10,3.49432,10000,0.000391602
kp_10000_2.in,B&B,DFS01,2.67211,10000,9.79003e-05
kp_10000_2.in,B&B,BFS,0.478553,2137,0
kp_10000_2.in,B&B,Random,1.10066,5297,0
kp_10000_2.in,B&B - Heur,BestBound,0.352877,548,0
kp_10000_2.in,B&B - Heur,DFS10,7.07551,10000,0.000342652
kp_10000_2.in,B&B - Heur,DFS01,2.46661,3661,0
kp_10000_2.in,B&B - Heur,BFS,0.645393,1205,0
kp_10000_2.in,B&B - Heur,Random,0.690555,1300,0
kp_10000_2.in,B&B - HeurDP,BestBound,0.466908,497,0
kp_10000_2.in,B&B - HeurDP,DFS10,0.470138,497,0
kp_10000_2.in,B&B - HeurDP,DFS01,0.467642,497,0
kp_10000_2.in,B&B - HeurDP,BFS,0.47256,497,0
kp_10000_2.in,B&B - HeurDP,Random,0.464191,497,0
kp_100000_2.in,Greedy,,0.00186504,
kp_100000_2.in,B&B,BestBound,42.6763,10000,inf
kp_100000_2.in,B&B,DFS10,40.5538,10000,inf
kp_100000_2.in,B&B,DFS01,43.4309,10000,inf
kp_100000_2.in,B&B,BFS,23.5839,10000,0
kp_100000_2.in,B&B,Random,6.41691,2977,0
kp_100000_2.in,B&B - Heur,BestBound,0.533048,131,0
kp_100000_2.in,B&B - Heur,DFS10,78.3633,10000,2.46654e-06
kp_100000_2.in,B&B - Heur,DFS01,0.144618,37,0
kp_100000_2.in,B&B - Heur,BFS,0.821749,219,0
kp_100000_2.in,B&B - Heur,Random,0.860631,243,0
kp_100000_2.in,B&B - HeurDP,BestBound,0.0410145,1,0
kp_100000_2.in,B&B - HeurDP,DFS10,0.0473219,1,0
kp_100000_2.in,B&B - HeurDP,DFS01,0.0479241,1,0
kp_100000_2.in,B&B - HeurDP,BFS,0.0487336,1,0
kp_100000_2.in,B&B - HeurDP,Random,0.0474729,1,0
